branch_id,plant_id,orientation,farmer,plot_type,fert_trt,shd_trt,jun_frt,dec_dieback,binom_dieback
1543,122,E,Miguel,lshd,l,shd,22,y,1
1544,122,W,Miguel,lshd,l,shd,54,n,0
1545,123,N,Miguel,lshd,l,shd,31,n,0
1546,123,S,Miguel,lshd,l,shd,74,n,0
1547,123,E,Miguel,lshd,l,shd,29,n,0
1548,123,W,Miguel,lshd,l,shd,69,n,0
1549,124,N,Miguel,lshd,l,shd,14,y,1
1550,124,S,Miguel,lshd,l,shd,54,n,0
1551,124,E,Miguel,lshd,l,shd,43,y,1
1552,124,W,Miguel,lshd,l,shd,37,n,0
1553,125,N,Miguel,lshd,l,shd,,n,0
1554,125,S,Miguel,lshd,l,shd,29,n,0
1555,125,E,Miguel,lshd,l,shd,72,n,0
1556,125,W,Miguel,lshd,l,shd,48,n,0
1557,126,N,Miguel,lshd,l,shd,50,y,1
1558,126,S,Miguel,lshd,l,shd,28,n,0
1559,126,E,Miguel,lshd,l,shd,29,n,0
1560,126,W,Miguel,lshd,l,shd,83,n,0
1561,127,N,Miguel,lshd,l,shd,68,y,1
1562,127,S,Miguel,lshd,l,shd,39,n,0
1563,127,E,Miguel,lshd,l,shd,75,y,1
1564,127,W,Miguel,lshd,l,shd,48,n,0
