trackID,date,indID,sex,starttime,interval,gps.num,index,waypt,flag,lat,lon,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,X,track_num,track_flag,time
1-Jul_L-BSG,1-Jul,L-BSG,Female,11:00am,15,1,1,739,1,42.485261,-71.568677,w,cup,up,P,area 3,Elizabeth,Norah,74,cloudy,,,18,18_1,5400
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,1,560,1,42.485702,-71.568652,b,cup,wet,no,area 5,Natalie,Elizabeth,82,overcast,mated?,,19,19_1,2505
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,168,561,2,42.485703,-71.56866,b,grass,wet,no,area 5,Natalie,Elizabeth,82,overcast,mated?,,19,19_2,555
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,274,562,3,42.485702,-71.568667,b,grass,wet,no,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_3,15
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,284,563,4,42.485694,-71.568622,f,n/a,wet,no,5,Natalie,Elizabeth,82,overcast,"wrong flag was thrown, 4 and flag were backwards, here it has been fixed",,19,19_4,45
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,285,564,5,42.4857,-71.568604,p,flag,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_5,45
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,291,565,6,42.485699,-71.56859,p,grass,wet,no,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_6,1590
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,292,566,7,42.485677,-71.568554,p,aster,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_7,150
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,305,567,8,42.485651,-71.56849,p,maple tree,wet,no,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_8,15
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,306,568,9,42.485636,-71.568515,p,grass,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_9,90
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,317,569,10,42.485634,-71.568515,b,grass,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_10,15
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,354,570,11,42.485604,-71.568516,b,aster,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_11,195
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,355,571,12,42.485555,-71.568547,b,aster,wet,T,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_12,15
3-Jul_L-RRGG,3-Jul,L-RRGG,Female,10:34am,15,3,358,572,13,42.485563,-71.568525,p,dogwood,wet,no,5,Natalie,Elizabeth,82,overcast,mated?,,19,19_13,165
3-Jul_R-LLGG,3-Jul,R-LLGG,Female,12:20pm,15,2,1,373,1,42.484638,-71.568858,p,cup,wet,P,dorm 31,Elizabeth,Natalie/Elizabeth,79,partly cloudy,virgin,,20,20_1,3300
3-Jul_R-LLGG,3-Jul,R-LLGG,Female,12:20pm,15,2,221,374,2,42.484639,-71.568873,p,grass,wet,T,dorm 31,Elizabeth,Natalie/Elizabeth,79,partly cloudy,virgin,,20,20_2,1245
3-Jul_R-LLGG,3-Jul,R-LLGG,Female,12:20pm,15,2,304,375,3,42.484638,-71.568856,w,grass,wet,T,dorm 31,Elizabeth,Natalie/Elizabeth,79,partly cloudy,virgin,,20,20_3,855
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,1,790,1,42.484979,-71.568646,b,cup,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_1,195
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,14,791,2,42.484972,-71.568642,w,herb,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_2,15
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,38,792,3,42.484974,-71.568651,p/e,n/a,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_3,90
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,39,793,4,42.484974,-71.568647,p,n/a,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_4,15
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,40,794,5,42.484975,-71.568641,p,dandelion,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_5,15
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,41,795,6,42.484981,-71.568644,p,aster,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_6,15
3-Jul_R-RRGR,3-Jul,R-RRGR,Female,2:00pm,15,1,42,796,7,42.48498,-71.568649,f,n/a,up,P,3,Natalie,Lee,84,sunny,mated,,21,21_7,15
